sumlev,logrecno,place_id_2010,name,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
160,0385887,3724520,Four Oaks,1921,1340,337,17,4,0,166,57,271,1650,1272,326,10,4,0,0,38
160,0385892,3724570,Foxfire,902,810,77,3,4,0,3,5,6,896,806,77,3,4,0,1,5
160,0385897,3724640,Franklin,3845,3465,81,18,30,0,185,66,500,3345,3165,74,17,30,0,5,54
160,0385903,3724720,Franklinton,2023,1128,826,3,4,0,15,47,83,1940,1086,812,3,4,0,1,34
160,0385908,3724740,Franklinville,1164,887,123,0,0,0,133,21,286,878,742,115,0,0,0,7,14
160,0385913,3724900,Fremont,1255,599,589,8,3,0,24,32,44,1211,587,586,8,3,0,1,26
160,0385918,3725020,Frisco,200,197,0,0,1,0,0,2,2,198,195,0,0,1,0,0,2
160,0385923,3725160,Fruitland,2031,1893,21,11,5,12,44,45,219,1812,1744,21,9,5,12,0,21
160,0385928,3725300,Fuquay-Varina,17937,12967,3527,110,361,5,475,492,1738,16199,11920,3455,70,348,3,13,390
160,0385934,3725380,Gamewell,4051,3627,214,2,10,0,127,71,183,3868,3583,214,2,10,0,1,58
160,0385940,3725460,Garland,625,295,257,2,1,0,58,12,80,545,273,257,2,1,0,0,12
160,0385945,3725480,Garner,25745,14888,8468,140,474,12,1173,590,2561,23184,13789,8339,99,468,12,51,426
160,0385956,3725540,Garysburg,1057,25,1008,10,0,1,0,13,8,1049,25,1004,9,0,0,0,11
160,0385961,3725560,Gaston,1152,657,453,9,4,0,18,11,26,1126,649,453,9,4,0,0,11
160,0385966,3725580,Gastonia,71741,45199,19953,289,964,16,3708,1612,6901,64840,42614,19661,201,956,7,145,1256
160,0385974,3725680,Gatesville,321,252,66,0,0,0,0,3,0,321,252,66,0,0,0,0,3
160,0385979,3725880,Germanton,827,780,33,1,2,0,8,3,16,811,772,33,1,2,0,0,3
160,0385988,3725900,Gerton,254,242,5,3,1,0,1,2,1,253,242,5,3,1,0,0,2
160,0385993,3725940,Gibson,540,205,252,65,6,0,4,8,7,533,203,252,65,6,0,0,7
160,0385998,3725980,Gibsonville,6410,5090,934,14,71,5,197,99,378,6032,4929,927,14,70,3,5,84
160,0386006,3726200,Glen Alpine,1517,1334,49,3,88,0,12,31,33,1484,1316,48,3,88,0,0,29
160,0386011,3726460,Glen Raven,2750,2163,344,16,17,1,152,57,341,2409,2001,341,14,17,1,0,35
160,0386018,3726520,Glenville,110,104,0,0,0,0,6,0,14,96,96,0,0,0,0,0,0
160,0386023,3726680,Gloucester,537,528,0,1,2,0,1,5,4,533,525,0,1,2,0,0,5
160,0386028,3726740,Godwin,139,98,38,0,1,0,0,2,0,139,98,38,0,1,0,0,2
160,0386033,3726880,Goldsboro,36437,14295,19786,133,651,23,590,959,1583,34854,13628,19593,112,646,18,42,815
160,0386042,3726920,Goldston,268,245,15,0,1,0,1,6,9,259,239,15,0,1,0,0,4
160,0386047,3727120,Gorman,1011,617,136,5,6,0,230,17,266,745,585,136,5,6,0,5,8
160,0386052,3727280,Graham,14153,8908,3229,172,179,1,1329,335,2229,11924,8241,3191,74,171,0,25,222
160,0386059,3727320,Grandfather,25,25,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0
160,0386064,3727420,Granite Falls,4722,4416,81,8,32,0,114,71,247,4475,4304,80,7,31,0,6,47
160,0386069,3727440,Granite Quarry,2930,2565,244,6,33,1,49,32,116,2814,2501,240,6,33,1,3,30
160,0386074,3727520,Grantsboro,688,567,70,5,4,0,30,12,39,649,565,67,5,3,0,0,9
160,0386079,3727780,Greenevers,634,54,519,0,1,0,50,10,55,579,49,518,0,1,0,2,9
160,0386084,3727870,Green Level,2100,454,1154,45,1,0,408,38,650,1450,280,1144,8,1,0,1,16
160,0386089,3728000,Greensboro,269666,130396,109586,1385,10772,157,10290,7080,20336,249330,122888,108233,1096,10711,128,703,5571
160,0386104,3728080,Greenville,84554,47579,31272,303,2025,34,1489,1852,3183,81371,46368,31010,265,1996,31,154,1547
160,0386113,3728200,Grifton,2617,1356,1069,2,1,0,127,62,253,2364,1250,1062,2,1,0,4,45
160,0386121,3728240,Grimesland,441,265,147,0,0,0,21,8,34,407,255,147,0,0,0,0,5
160,0386127,3728400,Grover,708,566,84,7,15,0,5,31,32,676,549,84,7,15,0,0,21
160,0386132,3728600,Gulf,144,139,5,0,0,0,0,0,0,144,139,5,0,0,0,0,0
160,0386137,3728900,Half Moon,8352,5689,1736,56,182,31,225,433,816,7536,5270,1675,52,163,30,21,325
160,0386143,3728920,Halifax,234,157,75,0,0,0,2,0,1,233,156,75,0,0,0,2,0
160,0386148,3729000,Hallsboro,465,174,265,7,2,0,9,8,15,450,168,265,7,2,0,0,8
160,0386153,3729120,Hamilton,408,154,243,1,1,2,1,6,4,404,154,243,1,1,0,0,5
160,0386158,3729160,Hamlet,6495,3587,2378,109,48,0,245,128,400,6095,3492,2351,90,48,0,8,106
160,0386163,3729180,Hampstead,4083,3751,199,7,19,0,54,53,133,3950,3673,198,5,19,0,12,43
160,0386168,3729560,Harkers Island,1207,1189,0,3,3,0,0,12,1,1206,1188,0,3,3,0,0,12
160,0386173,3729640,Harmony,531,470,29,7,0,0,21,4,52,479,447,29,1,0,0,0,2
160,0386178,3729680,Harrells,202,107,66,2,0,0,27,0,35,167,99,66,2,0,0,0,0
160,0386186,3729720,Harrellsville,106,81,25,0,0,0,0,0,0,106,81,25,0,0,0,0,0
160,0386191,3729800,Harrisburg,11526,8735,1892,52,522,0,100,225,421,11105,8455,1870,47,522,0,30,181
160,0386197,3730040,Hassell,84,35,49,0,0,0,0,0,0,84,35,49,0,0,0,0,0
160,0386202,3730100,Hatteras,504,495,1,0,0,0,0,8,14,490,487,1,0,0,0,0,2
