place_id_2010,place,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
1320288,Crawford,GA,832,529,267,0,8,0,2,26,16,816,514,266,0,8,0,2,26
1320316,Crawfordville,GA,534,200,319,1,4,0,0,10,8,526,192,319,1,4,0,0,10
1320550,Crooked Creek,GA,639,588,41,2,2,0,1,5,9,630,581,41,2,2,0,0,4
1320848,Culloden,GA,175,74,101,0,0,0,0,0,1,174,73,101,0,0,0,0,0
1320932,Cumming,GA,5430,4157,158,28,77,4,915,91,1707,3723,3423,153,11,77,4,12,43
1321017,Cusseta-Chattahoochee County,GA,11267,7753,2123,81,246,72,494,498,1398,9869,7089,2047,67,231,62,13,360
1321072,Cuthbert,GA,3873,757,3051,2,18,0,18,27,65,3808,737,3029,2,18,0,4,18
1321184,Dacula,GA,4442,3402,502,15,142,5,239,137,606,3836,3123,494,2,140,5,6,66
1321240,Dahlonega,GA,5242,4787,165,20,61,8,104,97,312,4930,4610,151,20,58,8,4,79
1321268,Daisy,GA,129,103,22,0,0,0,4,0,4,125,103,22,0,0,0,0,0
1321324,Dallas,GA,11544,7056,3598,41,152,5,343,349,826,10718,6726,3503,31,147,5,38,268
1321380,Dalton,GA,33128,21549,2108,212,779,42,7367,1071,15891,17237,14055,1974,41,749,12,24,382
1321436,Damascus,GA,254,82,162,0,6,0,1,3,1,253,82,162,0,6,0,0,3
1321632,Danielsville,GA,560,539,3,2,1,0,4,11,16,544,526,3,2,1,0,3,9
1321688,Danville,GA,238,145,93,0,0,0,0,0,6,232,139,93,0,0,0,0,0
1321716,Darien,GA,1975,1045,872,6,15,2,8,27,37,1938,1026,871,2,15,2,1,21
1321744,Dasher,GA,912,781,75,4,4,0,20,28,42,870,767,71,3,4,0,0,25
1321800,Davisboro,GA,2010,731,1236,0,9,0,24,10,141,1869,617,1232,0,9,0,2,9
1321912,Dawson,GA,4540,852,3556,3,20,0,56,53,99,4441,836,3544,3,20,0,3,35
1321940,Dawsonville,GA,2536,2398,43,2,15,1,38,39,119,2417,2325,41,2,14,1,2,32
1322024,Dearing,GA,549,482,50,3,1,0,9,4,15,534,474,50,3,1,0,2,4
1322052,Decatur,GA,19335,14215,3910,45,564,9,121,471,612,18723,13806,3858,36,554,9,44,416
1322080,Deenwood,GA,2146,1749,310,4,26,0,17,40,33,2113,1735,309,4,26,0,0,39
1322108,Deepstep,GA,131,130,0,0,1,0,0,0,0,131,130,0,0,1,0,0,0
