geocode,county,state,diversity_index2010,diversity_index2020,di_change,eth_white_nh_pct2010,eth_black_nh_pct2010,eth_hispanic_pct2010,eth_am_indian_nh_pct2010,eth_asian_nh_pct2010,eth_pac_isl_nh_pct2010,eth_other_nh_pct2010,eth_mult_nh_pct2010,eth_white_nh_pct2020,eth_black_nh_pct2020,eth_hispanic_pct2020,eth_am_indian_nh_pct2020,eth_asian_nh_pct2020,eth_pac_isl_nh_pct2020,eth_other_nh_pct2020,eth_mult_nh_pct2020
37161960203,Rutherford,NC,0.15872033621288661,0.23838656792356827,0.07966623171068166,0.9157522919493275,0.0424663243832658,0.028082569350224157,0,0.006164466442732133,0,6.849407158591259e-4,0.006849407158591258,0.8699248120300752,0.042105263157894736,0.04661654135338346,0,0.006766917293233083,0,0.006015037593984963,0.02857142857142857
37161960301,Rutherford,NC,0.2888332996683862,0.27766469533878413,-0.011168604329602094,0.8351536678630243,0.11087009949035535,0.033552793266818065,0.002188225647835961,0.002188225647835961,0,0,0.01604698808413038,0.8445820433436533,0.08544891640866874,0.030340557275541795,6.191950464396285e-4,0.0030959752321981426,6.191950464396285e-4,0.0086687306501548,0.026625386996904025
37161960302,Rutherford,NC,0.135505363413712,0.18469573586960653,0.04919037245589453,0.928854371855316,0.03751722350688373,0.012001764536630578,0.003326765438162914,0.0039744975724795555,7.948221109707626e-4,0.0015896442219415251,0.011940910757614933,0.901067615658363,0.015658362989323844,0.038434163701067614,0,0.0035587188612099642,0,7.117437722419929e-4,0.040569395017793594
37161960400,Rutherford,NC,0.2132764264571908,0.2804050419440113,0.06712861548682048,0.883122083294008,0.08004515839146961,0.01247118836929259,0.004640299037186644,0.004930317727010809,2.9001868982416525e-4,0,0.014500934491208262,0.8439716312056738,0.06205673758865248,0.03605200945626478,0.0014775413711583924,0.008865248226950355,0,0.0020685579196217494,0.04550827423167849
37161960501,Rutherford,NC,0.26612195622638246,0.3370071005917161,0.07088514436533366,0.8505205286866017,0.09723035111343799,0.028027514921263503,0.002076092906336754,0.004498461982780291,0,0.002768123875115672,0.014878926514464062,0.8061538461538461,0.1,0.04,0.004615384615384616,0.005384615384615384,0,0.006153846153846154,0.03769230769230769
37161960502,Rutherford,NC,0.3187516724235311,0.41808071861524576,0.09932904619171468,0.8166699426704377,0.10903195572945328,0.044699854027766495,0.003020275781979315,0.007248434331222985,3.020275781979315e-4,3.020275781979315e-4,0.01872548230274438,0.7491961414790996,0.11754197927831368,0.06502322257949268,0.0017863522686673813,0.010003572704537335,3.572704537334762e-4,0.006788138620936048,0.04930332261521972
37161960503,Rutherford,NC,0.35309885933286467,0.3449413341157992,-0.008157525217065476,0.7914144193725922,0.1375894331315355,0.031920748486516236,0.001100715465052284,0.018161805173362685,0,0.003302146395156852,0.01651073197578426,0.8004708652148322,0.10653325485579752,0.04414361389052384,0.0017657445556209534,0.01353737492642731,5.885815185403178e-4,0.004708652148322542,0.028251912889935255
37161960600,Rutherford,NC,0.4728816092366166,0.5048013546174603,0.031919745380843745,0.6740119760479042,0.2673053892215569,0.030419161676646708,0.0019161676646706587,0.005508982035928144,0,4.7904191616766467e-4,0.02035928143712575,0.6592844974446337,0.23801411535653444,0.03747870528109029,0.005110732538330494,0.004380627889997567,0.0019469457288878072,0.004623996106108542,0.049160379654417136
37161960700,Rutherford,NC,0.45106762955334045,0.4906527750849514,0.039585145531610966,0.7120933087783916,0.1921424186617557,0.06711684059750359,0.0016369961121342337,0.006547984448536935,0,8.184980560671168e-4,0.019643953345610803,0.6849495392716104,0.17946467749012726,0.07722685388328214,0.002193944712593243,0.007459412022817025,8.775778850372971e-4,0.0037297060114085123,0.04409828872312418
37161960800,Rutherford,NC,0.5421799319621735,0.5914763839906578,0.04929645202848432,0.6160893854748604,0.2672625698324022,0.07865921787709497,0.0022346368715083797,0.010279329608938547,0,0.002681564245810056,0.022793296089385476,0.5849056603773585,0.2235294117647059,0.11120976692563818,0.0013318534961154272,0.014428412874583796,0.0011098779134295228,0.0013318534961154272,0.06215316315205328
37161960900,Rutherford,NC,0.3436976440481677,0.4240224673529883,0.0803248233048206,0.8,0.11181988742964352,0.05628517823639775,0.002626641651031895,0.00300187617260788,3.75234521575985e-4,0.001125703564727955,0.02476547842401501,0.7442642405063291,0.11649525316455696,0.07871835443037975,0.0029667721518987344,0.004549050632911392,0,0.005933544303797469,0.04707278481012658
37161961001,Rutherford,NC,0.17276986445905362,0.22468209964248198,0.05191223518342836,0.9074324324324324,0.058333333333333334,0.014414414414414415,0.002027027027027027,0.0024774774774774773,0,0.0022522522522522522,0.013063063063063063,0.877892030848329,0.05089974293059126,0.02699228791773779,0.002827763496143959,0.004113110539845758,0,0.0015424164524421595,0.03573264781491003
37161961002,Rutherford,NC,0.11866164995833439,0.14797649769121335,0.029314847732878957,0.9380234505862647,0.03283082077051926,0.01574539363484087,6.700167504187605e-4,0.001340033500837521,0,3.3500837520938025e-4,0.011055276381909548,0.9219559585492227,0.02687823834196891,0.019753886010362695,9.715025906735751e-4,0,0,3.238341968911917e-4,0.03011658031088083
37161961102,Rutherford,NC,0.18329277817716672,0.2716561135495824,0.0883633353724157,0.9019889215472211,0.03884560072111329,0.036755071651440326,0.0029882172074341727,0.003585860648921007,0,2.9882172074341726e-4,0.015537506503126741,0.8492975734355045,0.03639846743295019,0.06162196679438059,0.0031928480204342275,0.0038314176245210726,0,0.002234993614303959,0.04342273307790549
37161961103,Rutherford,NC,0.31425416359117997,0.3703304608269171,0.05607629723573715,0.8193895870736086,0.10197486535008976,0.06104129263913824,0.0021543985637342907,3.590664272890485e-4,0,3.590664272890485e-4,0.014721723518850987,0.7834476843910806,0.0823327615780446,0.08533447684391081,0.002572898799313894,8.576329331046312e-4,0,0.003001715265866209,0.04245283018867924
37161961104,Rutherford,NC,0.20264851602690936,0.3073417694658216,0.10469325343891223,0.8905263157894737,0.04481203007518797,0.045714285714285714,0.002406015037593985,0.0012030075187969924,0,9.022556390977444e-4,0.01443609022556391,0.8264627659574468,0.04853723404255319,0.07081117021276596,0.0016622340425531915,0.0036569148936170214,0,0.0016622340425531915,0.04720744680851064
37161961200,Rutherford,NC,0.12928310574789614,0.1969015205438287,0.06761841479593256,0.9323288664288019,0.0263047461676687,0.0256683737221901,0.0031820298002715004,4.242706400362e-4,0,0.0012728119201086,0.010818901320923101,0.8941555453290382,0.02577082374597331,0.044868844914864245,0.0032213529682466636,0.001150483202945237,2.300966405890474e-4,6.902899217671422e-4,0.02991256327657616
37163970101,Sampson,NC,0.6391193413341141,0.6788000090462945,0.03968066771218037,0.4472517827231751,0.3556910892245195,0.18515663054062512,0.0018198826852265067,0.002293214941001057,0.0018345588956637678,0,0.005952840989788948,0.41753171856978083,0.3027681660899654,0.23298731257208766,0.010380622837370242,0.0028835063437139563,0,0.0057670126874279125,0.02768166089965398
37163970102,Sampson,NC,0.6367495644783676,0.6473471089416944,0.010597544463326836,0.49498643539655107,0.21290912608757967,0.26965094316080374,0.009422399762292134,0.0010023919686748678,2.0047839373497353e-4,0.0016038271498797882,0.01022439808048365,0.46081229418221736,0.16860592755214052,0.3334796926454446,0.008781558726673985,0.001756311745334797,2.195389681668496e-4,0.0021953896816684962,0.024149286498353458
37163970201,Sampson,NC,0.5673804618208786,0.5557866692297757,-0.011593792591102936,0.601241540941681,0.1574964841043555,0.21474220224232798,0.011602400561340544,0.004972457383431662,0,0.004972457383431662,0.004972457383431662,0.621317157712305,0.14471403812824957,0.19064124783362218,0.010398613518197574,0.0034662045060658577,0.0017331022530329288,0,0.02772963604852686
37163970202,Sampson,NC,0.5505616533532751,0.600514267262533,0.04995261390925787,0.6289209933680351,0.14251767401741092,0.17949291991399588,0.03523333393160378,5.534031507581746e-4,0.001844677169193915,3.68935433838783e-4,0.01106806301516349,0.5648454209605289,0.11063581567178689,0.25724285436515654,0.03674897919502236,0.0027221466070386936,0,0.0021388294769589733,0.02566595372350768
37163970302,Sampson,NC,0.5426970267074949,0.5261047937673431,-0.016592232940151774,0.6353819156700884,0.1406199222881099,0.1821085935020842,0.020075048284806007,0.0011706609337424371,0.0025177709988464894,0.0027267424047595643,0.015399345917562883,0.6543008560945781,0.1216877293110477,0.17244190786791683,0.014675907052588666,0.0012229922543823889,2.0383204239706482e-4,0.0036689767631471666,0.031797798613942115
37163970303,Sampson,NC,0.5684612319823164,0.5780851367135871,0.009623904731270727,0.596288403517496,0.14364398546121113,0.23459837767223338,0.014930240239103826,0,8.782494258296369e-4,4.391247129148184e-4,0.009221618971211187,0.5895823978446341,0.11540188594521779,0.24472384373596767,0.01347103726986978,8.98069151324652e-4,0,0.006286484059272564,0.029636281993713515
