fips,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
37137,Pamlico,NC,13144,10032,2632,77,50,11,163,179,412,12732,9828,2618,72,48,10,6,150
37139,Pasquotank,NC,40661,23059,15355,141,454,19,737,896,1642,39019,22369,15256,124,449,15,63,743
37141,Pender,NC,52217,39756,9269,291,207,18,1742,934,3194,49023,38568,9208,237,197,11,61,741
37143,Perquimans,NC,13453,9694,3347,41,38,2,157,174,286,13167,9608,3328,39,36,2,8,146
37145,Person,NC,39464,26968,10646,266,116,4,868,596,1593,37871,26354,10599,244,115,4,51,504
37147,Pitt,NC,168148,99075,57257,582,2613,97,5136,3388,9202,158946,96038,56813,474,2561,71,290,2699
37149,Polk,NC,20510,18633,918,72,68,2,528,289,1122,19388,18126,911,41,60,1,14,235
37151,Randolph,NC,141752,121169,8176,952,1431,33,7561,2430,14698,127054,115205,7979,674,1406,20,140,1630
37153,Richmond,NC,46639,28072,14269,1173,431,26,1700,968,2741,43898,27369,14159,1069,419,15,63,804
37155,Robeson,NC,134168,38877,32637,51502,993,86,6672,3401,10932,123236,36160,32347,50866,971,60,133,2699
37157,Rockingham,NC,93643,70875,17655,345,430,60,2608,1670,5159,88484,68744,17529,307,423,44,97,1340
37159,Rowan,NC,138428,105923,22392,468,1386,49,5993,2217,10644,127784,101986,22153,376,1353,44,148,1724
37161,Rutherford,NC,67810,58221,6854,171,296,5,1034,1229,2397,65413,57054,6804,156,289,5,66,1039
37163,Sampson,NC,63431,35985,17128,1297,242,72,7430,1277,10440,52991,33754,16948,1130,217,43,81,818
37165,Scotland,NC,36157,16822,13943,3934,276,8,385,789,754,35403,16605,13884,3860,276,7,49,722
37167,Stanly,NC,60585,50623,6630,197,1118,42,1271,704,2166,58419,49877,6590,175,1108,10,47,612
37169,Stokes,NC,47401,44021,1916,156,125,7,589,587,1254,46147,43447,1897,138,125,7,39,494
37171,Surry,NC,73673,64926,2749,219,347,18,4410,1004,7155,66518,62611,2644,173,339,9,58,684
37173,Swain,NC,13981,9315,76,3775,67,4,150,594,540,13441,9168,75,3587,66,4,1,540
37175,Transylvania,NC,33090,30577,1292,95,144,8,415,559,964,32126,30049,1279,93,143,8,33,521
37177,Tyrrell,NC,4407,2403,1683,17,80,1,161,62,240,4167,2350,1677,7,80,1,1,51
37179,Union,NC,201292,158954,23558,815,3271,63,10760,3871,20967,180325,150098,23134,605,3243,58,415,2772
37181,Vance,NC,45422,20058,22645,147,202,7,1754,609,3051,42371,19101,22477,79,199,7,41,467
37183,Wake,NC,900993,597546,186510,4503,48553,387,40928,22566,87922,813071,560536,182793,2537,48287,317,1755,16846
37185,Warren,NC,20972,8128,10970,1050,51,3,428,342,692,20280,7971,10911,1026,49,3,21,299
37187,Washington,NC,13228,6084,6587,24,38,1,340,154,466,12762,5998,6567,21,38,1,14,123
37189,Watauga,NC,51079,48272,877,129,475,13,597,716,1713,49366,47268,855,117,467,13,54,592
37191,Wayne,NC,122623,72135,38499,481,1431,64,7189,2824,12162,110461,68216,38107,333,1405,47,231,2122
37193,Wilkes,NC,69340,62824,2830,133,296,20,2312,925,3772,65568,61587,2785,110,295,15,67,709
37195,Wilson,NC,81234,42222,31686,238,668,25,5122,1273,7724,73510,40157,31462,190,664,22,108,907
37197,Yadkin,NC,38406,34007,1192,79,78,12,2560,478,3749,34657,33022,1165,66,71,5,11,317
37199,Yancey,NC,17818,16967,145,79,34,5,420,168,814,17004,16652,128,42,34,2,6,140
