geocode,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
45035010819,Dorchester,SC,4280.775613410751,3206.053487812057,739.7777004789554,8,184,3,40,99.94442511973885,189,4091.7756134107512,3090.053487812057,720.7777004789554,8,180,3,6,83.94442511973885
45035010820,Dorchester,SC,6177,4123,1601,22,186,5,65,175,258,5919,3975,1576,19,186,5,8,150
45035010821,Dorchester,SC,2064,1512,352,7,60,7,32,94,130,1934,1426,346,7,60,7,4,84
45035010822,Dorchester,SC,3124.905792546158,2130.9420525238916,624.9862477754908,17,186.989385761737,18,52.99904054247611,93.98906594256236,204.99680180825368,2919.9089907379043,2009.9439714389393,612.9865675946655,6,182.98938576173697,13,10,84.98906594256236
45035010823,Dorchester,SC,5052.0942074538425,3413.0579474761084,1189.013752224509,37,127.01061423826302,6,98.00095945752389,182.01093405743765,313.0031981917463,4739.091009262096,3268.0560285610604,1148.0134324053345,36,127.01061423826302,5,11,144.01093405743765
45037970201,Edgefield,SC,1962,1393,544,5,1,0,11,8,19,1943,1386,542,5,1,0,1,8
45037970203,Edgefield,SC,2439,1421,961,6,9,0,16,26,47,2392,1402,957,5,9,0,1,18
45037970204,Edgefield,SC,5000,1961,2717,17,19,4,174,108,561,4439,1677,2667,14,18,4,4,55
45037970300,Edgefield,SC,4646.158548195268,2107.864054461512,2274.6559599939396,7,19,0,185.63614895171088,52.002384788105445,380.93731802229917,4265.221230172969,1927.562090461555,2271.6559599939396,7,19,0,2.0007949293684826,38.002384788105445
45037970400,Edgefield,SC,3692.555077450979,1810.2565030353,1717.2026216885404,11.000271649828143,4,0,101.56776767415548,48.527913403154756,190.95871956303142,3501.5963578879473,1740.8780896294916,1707.2026216885404,10.000271649828143,4,0,8,31.515374920087304
45037970501,Edgefield,SC,4193.880177666774,2724.141106766348,1315.739070900426,9,17,0,86,42,148,4045.8801776667738,2683.141106766348,1306.739070900426,9,17,0,3.9999999999999996,26
