county_id_2010,county,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
13155,Irwin,GA,9538,6811,2472,2,61,0,107,85,228,9310,6719,2459,2,61,0,6,63
13157,Jackson,GA,60485,52496,4103,124,1033,13,1649,1067,3736,56749,50695,4050,91,1026,12,59,816
13159,Jasper,GA,13900,10271,3037,55,30,1,273,233,510,13390,10095,3030,40,30,1,18,176
13161,Jeff Davis,GA,15068,11463,2224,34,70,0,1097,180,1577,13491,11056,2212,27,70,0,6,120
13163,Jefferson,GA,16930,7206,9213,18,68,2,275,148,517,16413,7015,9187,18,64,2,13,114
13165,Jenkins,GA,8340,4579,3380,26,36,4,219,96,334,8006,4508,3353,22,36,1,7,79
13167,Johnson,GA,9980,6301,3489,19,22,3,65,81,186,9794,6219,3461,17,22,3,7,65
13169,Jones,GA,28669,20989,7008,63,187,3,103,316,315,28354,20830,6977,61,186,2,25,273
13171,Lamar,GA,18317,12098,5650,47,72,2,142,306,341,17976,11943,5621,34,68,2,22,286
13173,Lanier,GA,10078,7118,2390,53,103,3,175,236,461,9617,6899,2367,38,101,3,4,205
13175,Laurens,GA,48434,29355,17324,100,483,4,591,577,1143,47291,28920,17268,87,478,4,41,493
13177,Lee,GA,28298,21763,5268,74,617,19,170,387,560,27738,21453,5239,66,609,19,25,327
13179,Liberty,GA,63453,29881,26805,358,1247,392,1810,2960,6159,57294,27085,26018,287,1182,364,142,2216
13181,Lincoln,GA,7996,5257,2570,28,32,1,33,75,98,7898,5201,2562,27,32,1,9,66
13183,Long,GA,14464,9026,3647,91,115,56,1039,490,1778,12686,8491,3541,76,110,51,32,385
13185,Lowndes,GA,109233,63485,39142,416,1591,122,2165,2312,5238,103995,61234,38815,305,1561,92,244,1744
13187,Lumpkin,GA,29966,28277,340,177,138,27,464,543,1344,28622,27519,310,167,133,24,10,459
13189,McDuffie,GA,21875,12518,8706,65,76,15,191,304,475,21400,12310,8661,56,74,15,23,261
13191,McIntosh,GA,14333,8811,5149,53,45,10,88,177,227,14106,8716,5132,46,45,5,14,148
13193,Macon,GA,14740,5177,8933,40,195,20,230,145,527,14213,4961,8902,19,190,18,5,118
13195,Madison,GA,28120,24634,2355,74,178,1,527,351,1139,26981,24106,2320,63,173,0,32,287
13197,Marion,GA,8742,5254,2856,44,78,13,358,139,570,8172,5100,2837,40,77,13,6,99
13199,Meriwether,GA,21992,12741,8605,77,141,2,164,262,347,21645,12606,8583,67,141,2,18,228
13201,Miller,GA,6125,4266,1720,15,28,0,25,71,93,6032,4237,1697,14,23,0,0,61
13205,Mitchell,GA,23498,11264,11219,77,122,10,575,231,1028,22470,10894,11185,60,120,4,18,189
13207,Monroe,GA,26424,19365,6268,69,214,4,228,276,535,25889,19101,6249,64,209,4,14,248
13209,Montgomery,GA,9123,6291,2397,6,26,1,303,99,480,8643,6144,2372,6,26,1,4,90
13211,Morgan,GA,17868,12984,4208,54,106,0,285,231,494,17374,12814,4199,45,106,0,17,193
13213,Murray,GA,39628,35320,245,159,116,25,3133,630,5154,34474,33666,212,94,110,1,15,376
13215,Muscogee,GA,189885,87870,86403,731,4128,431,4554,5768,12110,177775,82890,85119,599,4061,378,432,4296
13217,Newton,GA,99958,53754,40878,232,906,37,2068,2083,4635,95323,51995,40371,199,881,34,169,1674
13219,Oconee,GA,32808,29004,1635,49,1022,5,641,452,1436,31372,28306,1610,31,1016,4,35,370
13221,Oglethorpe,GA,14899,11662,2566,35,65,2,285,284,546,14353,11429,2557,33,65,2,18,249
13223,Paulding,GA,142324,110517,24321,427,1271,67,2434,3287,7264,135060,106739,23810,353,1237,58,280,2583
13225,Peach,GA,27695,13383,12715,67,223,8,874,425,1890,25805,12499,12647,59,222,8,26,344
13227,Pickens,GA,29431,28171,312,81,119,7,396,345,819,28612,27802,297,69,118,5,13,308
13229,Pierce,GA,18758,16293,1666,80,59,12,389,259,887,17871,15860,1646,70,58,12,10,215
13231,Pike,GA,17869,15606,1837,55,56,1,73,241,193,17676,15506,1825,52,55,1,15,222
13233,Polk,GA,41475,31974,5190,115,281,36,3120,759,4885,36590,30492,5150,73,270,16,53,536
13235,Pulaski,GA,12010,7679,3824,40,105,5,234,123,465,11545,7494,3808,30,103,2,18,90
13237,Putnam,GA,21218,14408,5522,38,107,18,867,258,1347,19871,14024,5497,27,107,9,23,184
