place_id_2010,place,state,total,rc_white,rc_black,rc_am_indian,rc_asian,rc_pac_isl,rc_other,rc_multi,eth_hispanic,eth_non_hisp,eth_white_nh,eth_black_nh,eth_am_indian_nh,eth_asian_nh,eth_pac_isl_nh,eth_other_nh,eth_mult_nh
2849320,Mound Bayou,MS,1533,20,1511,0,1,0,0,1,14,1519,14,1503,0,1,0,0,1
2849520,Mount Olive,MS,982,427,541,3,0,2,0,9,9,973,419,541,2,0,2,0,9
2850280,Myrtle,MS,490,389,70,1,0,0,22,8,25,465,389,67,1,0,0,0,8
2850440,Natchez,MS,15792,6248,9213,35,59,0,79,158,179,15613,6185,9176,31,59,0,16,146
2850720,Nellieburg,MS,1414,1101,295,2,8,0,0,8,6,1408,1096,295,2,8,0,0,7
2850880,Nettleton,MS,1992,1331,630,11,3,0,10,7,17,1975,1323,628,11,3,0,3,7
2851000,New Albany,MS,8034,4884,2507,17,27,0,445,154,667,7367,4705,2492,6,27,0,7,130
2851040,New Augusta,MS,644,359,275,2,1,0,1,6,6,638,354,275,2,1,0,0,6
2851240,New Hamilton,MS,553,545,0,1,0,0,5,2,9,544,541,0,1,0,0,0,2
2851360,New Hebron,MS,447,402,35,2,1,0,5,2,7,440,398,35,2,1,0,2,2
2851400,New Hope,MS,3193,2802,357,5,7,0,4,18,31,3162,2779,355,5,7,0,2,14
2851420,New Houlka,MS,626,458,150,2,10,0,1,5,9,617,457,150,2,3,0,0,5
2851720,Newton,MS,3373,1221,2106,2,10,0,10,24,32,3341,1213,2092,2,10,0,3,21
2851840,Nicholson,MS,3092,2592,309,13,18,1,66,93,188,2904,2482,307,13,16,1,1,84
2852400,North Carrollton,MS,473,280,171,0,0,0,19,3,23,450,276,171,0,0,0,0,3
2852680,North Tunica,MS,1035,45,987,0,0,0,1,2,2,1033,44,987,0,0,0,0,2
2852880,Noxapater,MS,472,288,178,1,1,0,0,4,12,460,276,178,1,1,0,0,4
2853200,Oakland,MS,527,124,402,0,0,0,0,1,10,517,121,395,0,0,0,0,1
2853520,Ocean Springs,MS,17442,14901,1298,67,544,12,232,388,728,16714,14479,1281,57,542,11,34,310
2853680,Okolona,MS,2692,751,1885,1,3,0,23,29,36,2656,745,1879,1,3,0,2,26
2854040,Olive Branch,MS,33484,23940,7743,61,435,23,801,481,1397,32087,23493,7696,47,434,23,40,354
2854640,Osyka,MS,440,220,214,0,0,0,5,1,11,429,215,213,0,0,0,0,1
2854840,Oxford,MS,18916,13674,4130,61,621,13,214,203,465,18451,13465,4122,29,620,9,23,183
2854920,Pace,MS,274,45,226,1,0,0,0,2,1,273,45,225,1,0,0,0,2
2854960,Pachuta,MS,261,180,80,1,0,0,0,0,0,261,180,80,1,0,0,0,0
2855000,Paden,MS,116,111,1,0,0,0,4,0,7,109,108,1,0,0,0,0,0
2855360,Pascagoula,MS,22392,13169,7317,69,224,14,1218,381,2472,19920,12200,7184,59,210,9,7,251
2855400,Pass Christian,MS,4613,2964,1285,19,182,2,61,100,138,4475,2894,1276,19,182,2,14,88
2855760,Pearl,MS,25092,17525,5768,57,217,53,1044,428,1598,23494,17103,5732,44,215,53,24,323
2855920,Pearlington,MS,1332,964,313,6,4,1,11,33,18,1314,958,308,6,4,1,4,33
2855930,Pearl River,MS,3601,458,65,2983,1,2,3,89,66,3535,450,65,2941,1,2,0,76
2856200,Pelahatchie,MS,1334,826,438,1,3,0,51,15,73,1261,806,438,1,3,0,2,11
